,seller_id,product_category_name,antecipacao_entrega,order_item_id,review_score
0,0015a82c2db000af6aaaf3ae2ecb0532,eletroportateis,12,1.0,3.0
1,0015a82c2db000af6aaaf3ae2ecb0532,eletroportateis,22,1.0,5.0
2,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,-20,1.0,3.0
3,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,-8,1.0,4.0
4,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,-1,1.0,3.0
5,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,0,1.0,3.0
6,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,4,1.0,5.0
7,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,5,1.0,5.0
8,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,5,2.0,5.0
9,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,6,1.0,5.0
10,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,7,1.0,3.0
11,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,9,1.0,4.0
12,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,10,1.0,4.0
13,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,10,2.0,2.0
14,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,10,3.0,2.0
15,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,10,4.0,2.0
16,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,11,1.0,4.0
17,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,13,1.0,4.5
18,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,14,1.0,5.0
19,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,16,1.0,5.0
20,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,17,1.0,4.0
21,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,19,1.0,5.0
22,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,20,1.0,5.0
23,001cca7ae9ae17fb1caed9dfb1094831,construcao_ferramentas_construcao,21,1.0,5.0
24,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,-26,1.0,1.0
25,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,-17,1.0,3.0
26,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,-15,1.0,1.0
27,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,-5,1.0,5.0
28,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,-4,1.0,4.0
29,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,-3,1.0,5.0
30,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,-2,1.0,4.0
31,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,0,1.0,1.0
32,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,1,1.0,1.0
33,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,3,1.0,4.5
34,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,4,1.0,5.0
35,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,5,1.0,5.0
36,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,6,1.0,5.0
37,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,6,2.0,5.0
38,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,7,1.0,4.0
39,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,7,2.0,5.0
40,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,8,1.0,4.0
41,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,8,2.0,1.0
42,001cca7ae9ae17fb1caed9dfb1094831,ferramentas_jardim,8,3.0,1.0
